Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
ABT,2018-01-16,58.889999,59.139999,58.23,58.439999,58.439999,7175000
ABT,2018-01-17,58.759998,59.099998,58.630001,58.990002,58.990002,5037500
ABT,2018-01-18,58.779999,59.27,58.529999,59.07,59.07,5658600
ABT,2018-01-19,59.23,59.68,58.959999,59.310001,59.310001,7362300
ABT,2018-01-22,58.880001,59.57,58.450001,59.57,59.57,6841900
ABT,2018-01-23,59.52,59.57,58.98,59.23,59.23,8122100
ABT,2018-01-24,61,64.160004,60.740002,61.720001,61.720001,11704900
ABT,2018-01-25,63.18,64.599998,62.32,63.220001,63.220001,15261900
ABT,2018-01-26,63.150002,63.439999,62.669998,63.419998,63.419998,10242800
ABT,2018-01-29,63.09,63.470001,62.849998,63.310001,63.310001,8638500
ABT,2018-01-30,62.439999,63.119999,62.290001,62.439999,62.439999,6497600
ABT,2018-01-31,62.66,62.759998,61.849998,62.16,62.16,7804400
ABT,2018-02-01,61.75,62.540001,61.66,62.18,62.18,8101600
ABT,2018-02-02,62.200001,62.419998,61.639999,61.689999,61.689999,12346500
ABT,2018-02-05,61.599998,61.869999,58.549999,58.73,58.73,11548200
ABT,2018-02-06,57.919998,59.259998,57.330002,58.860001,58.860001,15214700
ABT,2018-02-07,58.599998,59.849998,58.5,58.669998,58.669998,6872700
ABT,2018-02-08,58.77,58.830002,56.220001,56.27,56.27,6874500
ABT,2018-02-09,56.630001,57.689999,55.580002,57.169998,57.169998,8028400
ABT,2018-02-12,57.700001,57.98,56.880001,57.41,57.41,8219400
ABT,2018-02-13,57.139999,57.791901,56.810001,57.630001,57.630001,4950331
