Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,523.940002,529.719971,523.520020,529.489990,529.489990,561500
2018-01-09,529.000000,540.000000,528.570007,533.940002,533.940002,547700
2018-01-10,534.469971,535.880005,529.780029,531.570007,531.570007,483800
2018-01-11,534.150024,538.960022,530.609985,537.919983,537.919983,765200
2018-01-12,552.700012,556.369995,546.710022,555.530029,555.530029,941800
2018-01-16,562.619995,571.820007,561.059998,563.000000,563.000000,1370600
2018-01-17,567.210022,578.630005,565.289978,576.510010,576.510010,983900
2018-01-18,577.270020,584.210022,575.020020,579.219971,579.219971,819600
2018-01-19,582.619995,590.559998,581.030029,590.260010,590.260010,591300
2018-01-22,592.460022,593.440002,581.989990,593.260010,593.260010,843600
2018-01-23,593.000000,594.520020,588.400024,589.679993,589.679993,643400
2018-01-24,591.900024,592.450012,583.179993,587.669983,587.669983,642200
2018-01-25,585.000000,585.929993,572.950012,575.500000,575.500000,892500
2018-01-26,578.210022,586.950012,577.119995,586.799988,586.799988,516600
2018-01-29,585.530029,585.530029,574.200012,574.419983,574.419983,611000
2018-01-30,570.049988,571.530029,562.179993,562.289978,562.289978,851100
2018-01-31,564.809998,566.969971,559.650024,561.799988,561.799988,665800
2018-02-01,561.409973,568.479980,558.750000,565.190002,565.190002,659600
2018-02-02,565.260010,565.260010,545.809998,548.320007,548.320007,808200
2018-02-05,539.989990,553.030029,518.500000,524.969971,524.969971,1129400
2018-02-06,510.809998,538.520020,507.260010,535.219971,535.219971,1068400
