Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
COST,2018-01-16,192.350006,192.839996,190.889999,191.529999,191.529999,2006600
COST,2018-01-17,192.529999,192.559998,191.339996,192.289993,192.289993,2585200
COST,2018-01-18,192.229996,193.029999,191.220001,191.509995,191.509995,1908000
COST,2018-01-19,191.710007,192.639999,191.160004,192.289993,192.289993,2353800
COST,2018-01-22,192.5,194.759995,192.059998,194.380005,194.380005,3009100
COST,2018-01-23,193.610001,194.100006,192.070007,193.419998,193.419998,2316400
COST,2018-01-24,194.429993,194.75,191.929993,194.240005,194.240005,2799200
COST,2018-01-25,195,198.449997,194.740005,197.949997,197.949997,3558700
COST,2018-01-26,197.75,199.229996,195.690002,198.910004,198.910004,2756200
COST,2018-01-29,198.369995,199.880005,197.559998,198.320007,198.320007,2031100
COST,2018-01-30,197.589996,198.789993,196.080002,197.910004,197.910004,2285000
COST,2018-01-31,197.440002,198.470001,194.100006,194.869995,194.869995,2682300
COST,2018-02-01,193.410004,195.399994,192.440002,193.470001,193.470001,2096600
COST,2018-02-02,191.25,193.600006,190.800003,190.990005,190.990005,2386600
COST,2018-02-05,190.660004,192.100006,182.529999,182.770004,182.770004,3407200
COST,2018-02-06,178.910004,185.240005,176.199997,185.009995,185.009995,4067900
COST,2018-02-07,184.600006,186.190002,183.070007,183.190002,183.190002,2594800
COST,2018-02-08,184.509995,184.509995,178.529999,178.610001,178.610001,3013200
COST,2018-02-09,179.779999,182.070007,175.789993,180.720001,180.720001,2777200
COST,2018-02-12,181.839996,183.259995,180.380005,181.059998,181.059998,1590400
COST,2018-02-13,180.220001,184.600006,180.050003,184.149994,184.149994,2123794
