Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
DWDP,2018-01-08,75.339996,75.489998,74.470001,75.160004,75.160004,5822400
DWDP,2018-01-09,74.940002,76.339996,74.660004,75.339996,75.339996,7573400
DWDP,2018-01-10,75,75.370003,73.900002,74.199997,74.199997,7134600
DWDP,2018-01-11,74.400002,75.230003,74.209999,75.220001,75.220001,5956900
DWDP,2018-01-12,75.57,75.629997,74.989998,75.410004,75.410004,4982700
DWDP,2018-01-16,75.760002,76.349998,74.339996,74.949997,74.949997,7237500
DWDP,2018-01-17,75.970001,76.349998,75.089996,75.769997,75.769997,7768200
DWDP,2018-01-18,75.57,76.650002,75.120003,76.029999,76.029999,10220300
DWDP,2018-01-19,76.489998,76.489998,75.760002,76.010002,76.010002,8179000
DWDP,2018-01-22,75.790001,76.18,75.290001,76.18,76.18,6074500
DWDP,2018-01-23,75.860001,76.370003,75.610001,76.139999,76.139999,5663600
DWDP,2018-01-24,76.279999,77.080002,75.610001,76.010002,76.010002,9253700
DWDP,2018-01-25,76.330002,76.970001,76.209999,76.650002,76.650002,6660100
DWDP,2018-01-26,76.57,77.019997,75.260002,77.019997,77.019997,6201000
DWDP,2018-01-29,77.019997,77.059998,75.830002,75.870003,75.870003,5883200
DWDP,2018-01-30,75.489998,75.980003,74.919998,75.129997,75.129997,7536600
DWDP,2018-01-31,75.379997,76.050003,74.790001,75.580002,75.580002,10170200
DWDP,2018-02-01,74.68,76,73.43,73.5,73.5,13258400
DWDP,2018-02-02,73.059998,73.290001,70.639999,70.889999,70.889999,12794600
DWDP,2018-02-05,70.190002,71.870003,67.029999,67.839996,67.839996,19108800
DWDP,2018-02-06,66.629997,71.949997,66.190002,71.889999,71.889999,23087100
