Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
F,2018-01-08,13.21,13.22,13.11,13.15,12.833948,33828300
F,2018-01-09,13.18,13.22,13.08,13.08,12.765631,27924100
F,2018-01-10,13.06,13.14,12.96,13.03,12.716832,56517100
F,2018-01-11,13.02,13.2,13,13.16,12.843708,28342300
F,2018-01-12,13.1,13.29,13.1,13.23,12.912025,56979200
F,2018-01-16,13.31,13.48,13.01,13.1,12.785151,53961400
F,2018-01-17,12.58,12.58,12.1,12.18,11.887262,132412500
F,2018-01-18,12.18,12.2,12.02,12.07,11.779905,66541700
F,2018-01-19,12.12,12.12,11.91,12,11.711588,51303700
F,2018-01-22,12.02,12.08,11.9,12.02,11.731108,52851900
F,2018-01-23,12.03,12.03,11.9,11.96,11.672549,51831000
F,2018-01-24,12,12.09,11.92,12.05,11.760386,63300500
F,2018-01-25,11.93,11.93,11.44,11.57,11.291923,114886800
F,2018-01-26,11.59,11.7,11.5,11.65,11.37,52496000
F,2018-01-29,11.42,11.47,11.11,11.12,11.12,55114000
F,2018-01-30,11.09,11.23,11.05,11.06,11.06,52068200
F,2018-01-31,11.09,11.12,10.9,10.97,10.97,57644600
F,2018-02-01,10.95,11,10.85,10.92,10.92,41352200
F,2018-02-02,10.88,10.88,10.62,10.71,10.71,72312900
F,2018-02-05,10.78,10.8,10.24,10.24,10.24,96757000
F,2018-02-06,10.27,10.79,10.19,10.76,10.76,119182900
