Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
GE,2018-01-16,18.32,18.51,17.959999,18.209999,18.209999,205657000
GE,2018-01-17,17.65,17.700001,17.26,17.35,17.35,187537200
GE,2018-01-18,17.4,17.48,16.76,16.77,16.77,172263400
GE,2018-01-19,16.65,16.73,16.02,16.26,16.26,214947200
GE,2018-01-22,15.9,16.33,15.8,16.17,16.17,134212300
GE,2018-01-23,16.299999,17.030001,16.27,16.889999,16.889999,123236500
GE,2018-01-24,17,17.360001,16.25,16.440001,16.440001,167017700
GE,2018-01-25,16.5,16.620001,16.129999,16.18,16.18,95057100
GE,2018-01-26,16.129999,16.16,15.93,16.129999,16.129999,90888600
GE,2018-01-29,16.02,16.43,15.97,16.280001,16.280001,74134500
GE,2018-01-30,16.1,16.27,15.95,15.95,15.95,68254200
GE,2018-01-31,16.059999,16.27,15.99,16.17,16.17,76769200
GE,2018-02-01,16.059999,16.110001,15.92,16.02,16.02,52824000
GE,2018-02-02,15.89,15.93,15.6,15.64,15.64,82294800
GE,2018-02-05,15.48,15.63,14.91,14.91,14.91,123241600
GE,2018-02-06,14.82,15.34,14.71,15.27,15.27,126819900
GE,2018-02-07,15.31,15.52,15.25,15.25,15.25,76007200
GE,2018-02-08,15.19,15.21,14.45,14.45,14.45,138636100
GE,2018-02-09,14.69,15.03,14.23,14.94,14.94,129055800
GE,2018-02-12,15.06,15.14,14.78,14.82,14.82,75408700
GE,2018-02-13,14.74,14.79,14.53,14.67,14.67,73692013
