Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
HAL,2018-01-08,51.66,52.360001,51.400002,52.290001,52.290001,7611900
HAL,2018-01-09,52.43,52.66,51.599998,52.110001,52.110001,8587400
HAL,2018-01-10,52.099998,52.59,51.66,52.470001,52.470001,9714200
HAL,2018-01-11,52.57,53.689999,52.220001,53.330002,53.330002,9086700
HAL,2018-01-12,53.18,53.52,52.68,53.139999,53.139999,9026800
HAL,2018-01-16,53.029999,53.209999,51.900002,52.130001,52.130001,10231600
HAL,2018-01-17,52.48,53.330002,52.099998,52.849998,52.849998,8479900
HAL,2018-01-18,52.630001,53.07,52.209999,52.360001,52.360001,8388000
HAL,2018-01-19,52.02,53.18,51.419998,53.009998,53.009998,10388000
HAL,2018-01-22,54.02,56.450001,53.639999,56.400002,56.400002,17802800
HAL,2018-01-23,56.630001,57.860001,56.470001,56.830002,56.830002,13756800
HAL,2018-01-24,56.73,56.84,55.32,55.34,55.34,12321200
HAL,2018-01-25,55.669998,56.259998,55.150002,55.200001,55.200001,9436100
HAL,2018-01-26,55.5,55.959999,55.16,55.610001,55.610001,7495100
HAL,2018-01-29,55.32,55.599998,54.610001,54.799999,54.799999,8567500
HAL,2018-01-30,54.240002,54.25,53.09,54.139999,54.139999,10719500
HAL,2018-01-31,54.18,54.43,52.810001,53.700001,53.700001,8580800
HAL,2018-02-01,53.630001,54.700001,53.43,54.509998,54.509998,8530400
HAL,2018-02-02,54,54.099998,51.68,52.189999,52.189999,14070800
HAL,2018-02-05,51.490002,52.419998,49.669998,50.040001,50.040001,12398500
HAL,2018-02-06,48.759998,51.27,48.57,50.630001,50.630001,11045100
