Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
HD,2018-01-08,191.720001,193.720001,191.600006,192.039993,192.039993,3508500
HD,2018-01-09,192.699997,193.470001,191.639999,193.100006,193.100006,3012300
HD,2018-01-10,192.759995,193.220001,191.649994,191.800003,191.800003,3119500
HD,2018-01-11,191.679993,194.729996,191.399994,194.679993,194.679993,3899200
HD,2018-01-12,195.5,199.419998,194.820007,196.419998,196.419998,6748400
HD,2018-01-16,197.860001,198.949997,195.699997,196.309998,196.309998,5692700
HD,2018-01-17,197.5,199.820007,196.839996,199.820007,199.820007,3996100
HD,2018-01-18,199.779999,200.240005,197.660004,198.330002,198.330002,4474600
HD,2018-01-19,199.809998,201.330002,199.130005,201.330002,201.330002,5809600
HD,2018-01-22,201.600006,204.470001,201.509995,204.460007,204.460007,4857700
HD,2018-01-23,204.889999,206.350006,204.149994,204.899994,204.899994,3621700
HD,2018-01-24,205.199997,207.100006,204.550003,206.220001,206.220001,4370700
HD,2018-01-25,206.800003,206.830002,203.839996,205.369995,205.369995,3537700
HD,2018-01-26,205.600006,207.309998,204.440002,207.229996,207.229996,3778100
HD,2018-01-29,207.229996,207.610001,204.710007,204.919998,204.919998,3632900
HD,2018-01-30,201.470001,203.149994,191.570007,201.809998,201.809998,5979600
HD,2018-01-31,203.220001,205.080002,200.229996,200.899994,200.899994,4547300
HD,2018-02-01,199.339996,202.25,198.279999,199.899994,199.899994,3553800
HD,2018-02-02,199.25,199.300003,193.440002,193.970001,193.970001,6179000
HD,2018-02-05,190.070007,194.300003,180.380005,183.110001,183.110001,10618500
HD,2018-02-06,178.619995,191.960007,175.419998,191.039993,191.039993,11647400
