Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
INTC,2018-01-16,43.549999,43.790001,42.889999,43.139999,42.8493,38367200
INTC,2018-01-17,43.549999,44.450001,43.509998,44.389999,44.090874,32368600
INTC,2018-01-18,44.400002,44.740002,44.169998,44.48,44.180267,26826500
INTC,2018-01-19,44.619999,44.889999,44.25,44.82,44.517979,25780200
INTC,2018-01-22,44.799999,45.790001,44.790001,45.75,45.441711,27706800
INTC,2018-01-23,45.810001,46.09,45.630001,46.060001,45.749622,22135100
INTC,2018-01-24,45.900002,46.130001,44.959999,45.509998,45.203327,32464200
INTC,2018-01-25,45.880001,46.369999,45.169998,45.299999,44.994743,36758700
INTC,2018-01-26,48.380001,50.150002,48.119999,50.080002,49.742535,86916100
INTC,2018-01-29,49.599998,50.849998,49.369999,49.98,49.643208,46304000
INTC,2018-01-30,49.48,50.060001,48.740002,48.790001,48.461227,32814600
INTC,2018-01-31,49.23,49.25,47.560001,48.139999,47.815605,41619900
INTC,2018-02-01,47.700001,48.470001,47.450001,47.650002,47.328911,28840400
INTC,2018-02-02,47.32,47.790001,46.099998,46.150002,45.839016,28663000
INTC,2018-02-05,46.349998,47.259998,44.5,44.52,44.220001,47869000
INTC,2018-02-06,44.02,44.93,43.029999,44.91,44.91,58145400
INTC,2018-02-07,44.580002,46.299999,44.34,45.200001,45.200001,37508400
INTC,2018-02-08,45.279999,45.419998,42.740002,42.75,42.75,43151300
INTC,2018-02-09,43.5,44.279999,42.040001,43.950001,43.950001,49301100
INTC,2018-02-12,44.150002,45.16,44.09,44.830002,44.830002,28020500
INTC,2018-02-13,44.59,44.775002,44.255001,44.459999,44.459999,19516809
