Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
KMI,2018-01-08,18.9,18.98,18.799999,18.860001,18.733999,12309100
KMI,2018-01-09,18.85,19,18.82,18.940001,18.813465,10734400
KMI,2018-01-10,19,19.059999,18.879999,18.879999,18.753864,12593900
KMI,2018-01-11,18.799999,19.219999,18.75,19.200001,19.071728,17387600
KMI,2018-01-12,19.24,19.66,19.16,19.52,19.389589,16117000
KMI,2018-01-16,19.67,19.83,19.379999,19.389999,19.260456,20322000
KMI,2018-01-17,19.52,19.639999,19.32,19.57,19.439255,19501400
KMI,2018-01-18,19.5,19.52,18.77,19.01,18.882996,37007800
KMI,2018-01-19,19.040001,19.200001,18.889999,19.01,18.882996,18004600
KMI,2018-01-22,19.049999,19.639999,19.01,19.629999,19.498854,15649300
KMI,2018-01-23,19.66,19.709999,19.4,19.450001,19.320057,19891300
KMI,2018-01-24,19.52,19.559999,19.129999,19.139999,19.012127,17061900
KMI,2018-01-25,19.200001,19.32,18.790001,18.82,18.694265,16503200
KMI,2018-01-26,18.98,18.99,18.690001,18.77,18.6446,17126900
KMI,2018-01-29,18.77,18.83,18.57,18.709999,18.584999,17204700
KMI,2018-01-30,18.5,18.540001,18.219999,18.23,18.23,18488200
KMI,2018-01-31,18.27,18.379999,17.950001,17.98,17.98,18709600
KMI,2018-02-01,18.02,18.08,17.809999,18.059999,18.059999,13857900
KMI,2018-02-02,17.9,17.93,17.459999,17.5,17.5,18493500
KMI,2018-02-05,17.280001,17.48,16.57,16.809999,16.809999,23411900
KMI,2018-02-06,16.6,17.379999,16.559999,17.33,17.33,27036300
