Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
LLY,2018-01-08,86.690002,86.709999,85.400002,86.129997,86.129997,3251400
LLY,2018-01-09,86.199997,86.419998,85.739998,86.059998,86.059998,2426000
LLY,2018-01-10,85.610001,86.169998,85.489998,86.099998,86.099998,1674600
LLY,2018-01-11,86.169998,86.589996,85.870003,86.389999,86.389999,2647500
LLY,2018-01-12,86.519997,87.410004,86.029999,86.980003,86.980003,2728900
LLY,2018-01-16,85.93,86.589996,85.150002,85.290001,85.290001,4878300
LLY,2018-01-17,85.800003,86.360001,85.470001,86.209999,86.209999,4083300
LLY,2018-01-18,86.040001,86.139999,85.269997,85.82,85.82,4445800
LLY,2018-01-19,86.169998,86.279999,85.32,85.489998,85.489998,5826900
LLY,2018-01-22,83.25,85.57,82.400002,85.440002,85.440002,6374000
LLY,2018-01-23,85.18,85.919998,84.239998,84.419998,84.419998,5728100
LLY,2018-01-24,84.860001,85.160004,84.279999,84.300003,84.300003,5977700
LLY,2018-01-25,84.809998,85.400002,84.559998,85.010002,85.010002,5201600
LLY,2018-01-26,84.760002,87.470001,84.760002,87.080002,87.080002,6394100
LLY,2018-01-29,86.769997,88.330002,86.650002,87.599998,87.599998,5324500
LLY,2018-01-30,86.639999,86.940002,85.209999,86.089996,86.089996,5388400
LLY,2018-01-31,86.5,86.730003,81.269997,81.449997,81.449997,10558500
LLY,2018-02-01,81.540001,82.870003,81.290001,82.410004,82.410004,8410700
LLY,2018-02-02,81.879997,83.029999,81.120003,81.18,81.18,5152500
LLY,2018-02-05,80.889999,81.610001,76.550003,77.489998,77.489998,8145200
LLY,2018-02-06,76.559998,79.110001,75.709999,77.989998,77.989998,10543400
