Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
LOW,2018-01-16,101.5,105.599998,100.089996,100.970001,100.583504,13570400
LOW,2018-01-17,101.260002,102.290001,100.559998,101.68,101.290779,5296100
LOW,2018-01-18,102.019997,102.129997,100.809998,101.360001,100.972008,5956600
LOW,2018-01-19,104.279999,105.349998,102.470001,104.949997,104.548264,9558300
LOW,2018-01-22,107,107.379997,105.349998,107.110001,106.699997,7084300
LOW,2018-01-23,107,108.309998,106.150002,107.110001,107.110001,6118200
LOW,2018-01-24,107.389999,107.639999,105.900002,106.720001,106.720001,4127500
LOW,2018-01-25,108.940002,108.980003,106.110001,106.379997,106.379997,4864800
LOW,2018-01-26,106.639999,107.400002,105.529999,107.400002,107.400002,4017200
LOW,2018-01-29,108,108.379997,106.68,106.839996,106.839996,3787300
LOW,2018-01-30,105.709999,106.139999,104.629997,105.18,105.18,6360800
LOW,2018-01-31,105.669998,106.199997,104.540001,104.730003,104.730003,7082200
LOW,2018-02-01,103.839996,105.080002,103.25,103.860001,103.860001,4922900
LOW,2018-02-02,103.849998,103.860001,101.150002,101.5,101.5,6247900
LOW,2018-02-05,101.379997,103.110001,97.040001,97.580002,97.580002,8339800
LOW,2018-02-06,95.290001,100.919998,94.809998,100.220001,100.220001,9031200
LOW,2018-02-07,100,102.32,99.75,99.919998,99.919998,5257300
LOW,2018-02-08,99.919998,100.110001,94.889999,95.010002,95.010002,7673100
LOW,2018-02-09,96.190002,98.160004,92.510002,97.169998,97.169998,9667800
LOW,2018-02-12,98.25,99,97.169998,97.779999,97.779999,7949600
LOW,2018-02-13,96.959999,97.610001,94.870003,96.059998,96.059998,5541650
