Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
MA,2018-01-16,163.639999,163.940002,161.309998,162.289993,162.289993,4673400
MA,2018-01-17,163.119995,164.5,162.880005,164.320007,164.320007,3136000
MA,2018-01-18,164.830002,165.979996,164.110001,165.479996,165.479996,4150600
MA,2018-01-19,166.300003,166.949997,165.160004,166.830002,166.830002,2947800
MA,2018-01-22,166.580002,168.330002,166.289993,168.279999,168.279999,2275900
MA,2018-01-23,168.5,168.949997,166.649994,167.190002,167.190002,3035300
MA,2018-01-24,167.940002,168.100006,165.949997,167.009995,167.009995,3912400
MA,2018-01-25,168.009995,168.929993,167.130005,168.589996,168.589996,2088900
MA,2018-01-26,169.009995,170.360001,168.789993,170.339996,170.339996,2191600
MA,2018-01-29,170.119995,170.809998,168.289993,168.550003,168.550003,3082800
MA,2018-01-30,167.410004,168,166.300003,167.190002,167.190002,4227100
MA,2018-01-31,167.509995,169.669998,167.020004,169,169,5815300
MA,2018-02-01,172.509995,176.720001,171,172.929993,172.929993,6848400
MA,2018-02-02,171.899994,177.110001,170.419998,170.550003,170.550003,6556500
MA,2018-02-05,167.369995,171.960007,164.009995,164.589996,164.589996,7196000
MA,2018-02-06,160.5,169.360001,156.800003,169.279999,169.279999,7259900
MA,2018-02-07,169,172.610001,167.449997,168.729996,168.729996,4364800
MA,2018-02-08,168.770004,169.240005,160.460007,160.619995,160.619995,6557700
MA,2018-02-09,161.669998,166.490005,158.570007,165.199997,165.199997,6303000
MA,2018-02-12,166.800003,168.820007,165.580002,168.190002,168.190002,5133200
MA,2018-02-13,167.330002,170.770004,167.009995,170.119995,170.119995,3470996
