Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
MDLZ,2018-01-08,43.099998,43.459999,42.98,43.009998,43.009998,8140300
MDLZ,2018-01-09,43.139999,43.139999,42.889999,42.990002,42.990002,5805300
MDLZ,2018-01-10,42.759998,43.049999,42.459999,42.630001,42.630001,6494700
MDLZ,2018-01-11,42.68,42.799999,42.290001,42.509998,42.509998,6526500
MDLZ,2018-01-12,42.650002,42.700001,42.34,42.470001,42.470001,7179400
MDLZ,2018-01-16,42.52,43.200001,42.5,42.990002,42.990002,8659500
MDLZ,2018-01-17,43.27,44.18,43.130001,43.860001,43.860001,11557700
MDLZ,2018-01-18,43.779999,44.049999,43.240002,43.68,43.68,6824600
MDLZ,2018-01-19,43.68,44.18,43.669998,44.139999,44.139999,8893300
MDLZ,2018-01-22,43.689999,44.41,43.689999,44.279999,44.279999,6940100
MDLZ,2018-01-23,44.07,44.59,43.93,44.5,44.5,6831600
MDLZ,2018-01-24,44.59,44.759998,44.459999,44.59,44.59,6794200
MDLZ,2018-01-25,44.720001,45,44.200001,44.470001,44.470001,7402900
MDLZ,2018-01-26,44.610001,44.610001,44.119999,44.419998,44.419998,5733000
MDLZ,2018-01-29,44.959999,45.009998,44.310001,44.540001,44.540001,10451700
MDLZ,2018-01-30,44.580002,45.060001,44.25,44.34,44.34,7110700
MDLZ,2018-01-31,44.330002,44.77,44.169998,44.400002,44.400002,14784000
MDLZ,2018-02-01,44.360001,46.540001,44.290001,45.869999,45.869999,20120900
MDLZ,2018-02-02,45.84,46.130001,45.439999,45.5,45.5,10937100
MDLZ,2018-02-05,45.32,46.200001,43.939999,43.939999,43.939999,14324200
MDLZ,2018-02-06,43.639999,44.57,43.27,44.549999,44.549999,12129100
