Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
MET,2018-01-16,53.34,53.549999,51.619999,51.849998,51.421398,9410800
MET,2018-01-17,52.150002,52.709999,52.060001,52.549999,52.115612,5947000
MET,2018-01-18,52.700001,53.580002,52.549999,52.950001,52.512306,5429000
MET,2018-01-19,52.93,53.540001,52.619999,53.400002,52.958588,6660000
MET,2018-01-22,53.509998,53.91,53.189999,53.849998,53.404865,4481700
MET,2018-01-23,53.75,53.900002,53.189999,53.610001,53.166851,4139400
MET,2018-01-24,54.119999,54.240002,53.720001,54.099998,53.652802,3996700
MET,2018-01-25,54.25,54.25,53.810001,54,53.553627,4389800
MET,2018-01-26,54.25,54.77,54.02,54.77,54.317265,3660700
MET,2018-01-29,54.630001,55.209999,54.369999,54.400002,53.950321,5624100
MET,2018-01-30,50.25,50.82,49,49.73,49.318924,29493000
MET,2018-01-31,48.470001,49.5,48.009998,48.07,47.672646,28761700
MET,2018-02-01,48.009998,48.669998,47.720001,48.389999,47.990002,15853300
MET,2018-02-02,47.889999,48.23,47.419998,47.560001,47.560001,9583800
MET,2018-02-05,47,47.459999,45.549999,45.889999,45.889999,12513000
MET,2018-02-06,45.060001,46.380001,44.580002,46.200001,46.200001,13696700
MET,2018-02-07,45.950001,46.93,45.830002,46.259998,46.259998,9027900
MET,2018-02-08,46.310001,46.419998,44.259998,44.279999,44.279999,9043800
MET,2018-02-09,45,45.02,43.380001,44.610001,44.610001,9965800
MET,2018-02-12,44.990002,45.209999,44.130001,44.619999,44.619999,9873200
MET,2018-02-13,44.450001,45.25,44.18,45.200001,45.200001,8185721
