Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
MMM,2018-01-16,245.300003,247.190002,243.830002,244.740005,244.740005,2411100
MMM,2018-01-17,246.850006,248.529999,245.800003,248.110001,248.110001,2519000
MMM,2018-01-18,248.130005,249,244.919998,245.910004,245.910004,2233500
MMM,2018-01-19,246.630005,248.5,245.600006,248.179993,248.179993,2013500
MMM,2018-01-22,247.130005,247.889999,245.080002,247.300003,247.300003,1660500
MMM,2018-01-23,246.910004,247.259995,245.119995,246.309998,246.309998,1822700
MMM,2018-01-24,247.990005,248.539993,246.25,247.690002,247.690002,3471000
MMM,2018-01-25,250,254.800003,247.100006,252.360001,252.360001,3507900
MMM,2018-01-26,253.429993,259.769989,253.389999,258.630005,258.630005,3730600
MMM,2018-01-29,258.51001,259.339996,255.970001,256.01001,256.01001,2306300
MMM,2018-01-30,255.600006,255.690002,251.410004,251.539993,251.539993,2412600
MMM,2018-01-31,251.490005,253.130005,249.600006,250.5,250.5,3136400
MMM,2018-02-01,247.440002,250.089996,246.179993,247.940002,247.940002,2665500
MMM,2018-02-02,246.429993,248.75,244.880005,245.169998,245.169998,3925700
MMM,2018-02-05,243.5,244.399994,226.009995,231.440002,231.440002,6590500
MMM,2018-02-06,227.509995,234.570007,226.809998,233.630005,233.630005,5108100
MMM,2018-02-07,233.190002,237.520004,232.820007,233.190002,233.190002,2885600
MMM,2018-02-08,233.160004,233.309998,222.649994,222.889999,222.889999,3751300
MMM,2018-02-09,224.610001,226.960007,218.179993,225.210007,225.210007,4518600
MMM,2018-02-12,227.490005,230.380005,226.100006,229.190002,229.190002,3254800
MMM,2018-02-13,229.710007,231.970001,228.929993,231.360001,231.360001,2523429
