Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
NKE,2018-01-08,64.150002,64.709999,63.98,64.550003,64.550003,11905700
NKE,2018-01-09,64.230003,64.720001,63.470001,64.089996,64.089996,8771300
NKE,2018-01-10,63.880001,64.230003,63.439999,64.220001,64.220001,5010600
NKE,2018-01-11,64.029999,64.309998,63.779999,64.290001,64.290001,5103500
NKE,2018-01-12,64.5,64.720001,64.32,64.669998,64.669998,5135700
NKE,2018-01-16,64.779999,65.360001,63.369999,63.419998,63.419998,9117000
NKE,2018-01-17,63.669998,64.010002,63.080002,63.810001,63.810001,7422600
NKE,2018-01-18,64,64.209999,63.540001,64.110001,64.110001,5656900
NKE,2018-01-19,65.309998,67.239998,65.120003,67.209999,67.209999,12896100
NKE,2018-01-22,66.550003,66.830002,65.760002,66.389999,66.389999,8491800
NKE,2018-01-23,66.529999,67.330002,66.440002,67.139999,67.139999,6412000
NKE,2018-01-24,67.339996,68.18,67.07,68,68,7421800
NKE,2018-01-25,68.129997,68.639999,67.449997,67.709999,67.709999,5707600
NKE,2018-01-26,68.199997,68.639999,67.919998,68.040001,68.040001,6290500
NKE,2018-01-29,67.82,68.139999,67.419998,67.580002,67.580002,5067300
NKE,2018-01-30,67.5,68.309998,67.160004,67.330002,67.330002,6350500
NKE,2018-01-31,67.5,68.830002,67.470001,68.220001,68.220001,11036400
NKE,2018-02-01,67.669998,67.970001,66.699997,67.650002,67.650002,5790500
NKE,2018-02-02,67.220001,67.790001,67,67.220001,67.220001,9348300
NKE,2018-02-05,66.629997,67.209999,64.389999,64.389999,64.389999,12549500
NKE,2018-02-06,62.48,65.419998,62.09,65.220001,65.220001,13233000
