Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
ORCL,2018-01-08,48.299999,49.07,47.939999,48.98,48.790001,15075000
ORCL,2018-01-09,49.25,49.360001,48.919998,49.060001,49.060001,14153700
ORCL,2018-01-10,48.860001,49.27,48.580002,48.799999,48.799999,13476600
ORCL,2018-01-11,48.869999,49.02,48.439999,48.950001,48.950001,11687800
ORCL,2018-01-12,49.18,49.830002,49.060001,49.509998,49.509998,15978200
ORCL,2018-01-16,49.849998,50.060001,49.439999,49.59,49.59,17152600
ORCL,2018-01-17,49.91,50.290001,49.849998,50.27,50.27,23183100
ORCL,2018-01-18,50.189999,50.68,50.099998,50.23,50.23,17119200
ORCL,2018-01-19,50.5,50.599998,50.27,50.580002,50.580002,14011500
ORCL,2018-01-22,50.43,50.740002,50.27,50.709999,50.709999,16840000
ORCL,2018-01-23,50.75,51.27,50.57,51.119999,51.119999,14141400
ORCL,2018-01-24,51.360001,52,51.209999,51.450001,51.450001,17205600
ORCL,2018-01-25,51.540001,52.049999,51.540001,51.599998,51.599998,13904300
ORCL,2018-01-26,51.860001,52.75,51.759998,52.75,52.75,14909200
ORCL,2018-01-29,52.669998,52.790001,51.880001,51.939999,51.939999,12234900
ORCL,2018-01-30,51.740002,51.990002,50.75,50.959999,50.959999,16863500
ORCL,2018-01-31,50.860001,51.849998,50.860001,51.59,51.59,16806800
ORCL,2018-02-01,51.360001,51.98,51.259998,51.630001,51.630001,11674100
ORCL,2018-02-02,51.25,51.41,50.040001,50.130001,50.130001,17562200
ORCL,2018-02-05,50.040001,50.700001,48.060001,48.09,48.09,19725800
ORCL,2018-02-06,47.330002,49.509998,46.810001,49.400002,49.400002,25762600
