Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
PG,2018-01-16,90.139999,90.769997,89.639999,90.220001,89.537415,9465300
PG,2018-01-17,90.559998,91.730003,90.43,91.199997,90.509995,8345500
PG,2018-01-18,90.239998,90.650002,89.669998,90.18,90.18,7699800
PG,2018-01-19,90.279999,91.260002,90.239998,91.07,91.07,9364000
PG,2018-01-22,90.879997,91.919998,90.769997,91.889999,91.889999,8658000
PG,2018-01-23,89.82,90.209999,88.599998,89.050003,89.050003,18756300
PG,2018-01-24,89.059998,89.160004,87.699997,88.309998,88.309998,15141900
PG,2018-01-25,88.68,89.050003,88.010002,88.339996,88.339996,11264400
PG,2018-01-26,88.169998,88.169998,87.230003,87.730003,87.730003,11503100
PG,2018-01-29,87.690002,87.739998,86.690002,86.860001,86.860001,11685800
PG,2018-01-30,86.82,87.440002,86.629997,86.949997,86.949997,9662900
PG,2018-01-31,86.809998,87.410004,86.080002,86.339996,86.339996,11798100
PG,2018-02-01,86.150002,86.5,85.559998,85.849998,85.849998,8606300
PG,2018-02-02,85.559998,85.610001,84.209999,84.25,84.25,12846300
PG,2018-02-05,83.989998,84.370003,80.099998,81.059998,81.059998,17462200
PG,2018-02-06,80.529999,82.449997,80.120003,82.379997,82.379997,19955500
PG,2018-02-07,82.300003,83.389999,81.82,81.839996,81.839996,11851800
PG,2018-02-08,82.029999,82.220001,80.150002,80.220001,80.220001,14596100
PG,2018-02-09,80.980003,81.029999,78.589996,79.919998,79.919998,18838800
PG,2018-02-12,80.610001,81.669998,80.580002,81.330002,81.330002,10710500
PG,2018-02-13,81.150002,81.830002,80.910004,81.5,81.5,9278442
