Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,38.150002,38.480000,37.849998,38.250000,37.750000,26643900
2018-01-09,37.630001,37.990002,37.480000,37.490002,37.490002,28061100
2018-01-10,37.389999,37.389999,36.540001,36.619999,36.619999,41078600
2018-01-11,36.669998,36.770000,36.369999,36.480000,36.480000,41400300
2018-01-12,36.480000,36.990002,36.320000,36.900002,36.900002,31182200
2018-01-16,36.900002,37.020000,36.540001,36.720001,36.720001,24727600
2018-01-17,36.770000,36.950001,36.490002,36.849998,36.849998,22050200
2018-01-18,36.840000,37.380001,36.810001,37.150002,37.150002,27661100
2018-01-19,37.369999,37.369999,36.939999,37.209999,37.209999,27919800
2018-01-22,37.200001,37.900002,36.980000,37.869999,37.869999,31660600
2018-01-23,37.950001,38.220001,37.029999,37.189999,37.189999,33036000
2018-01-24,37.290001,37.389999,36.980000,37.020000,37.020000,28567800
2018-01-25,37.090000,37.450001,36.840000,37.450001,37.450001,23400300
2018-01-26,37.459999,37.820000,37.360001,37.820000,37.820000,21608500
2018-01-29,37.130001,37.680000,36.980000,37.259998,37.259998,30879600
2018-01-30,37.360001,37.799999,37.299999,37.439999,37.439999,29883200
2018-01-31,37.419998,37.919998,37.330002,37.450001,37.450001,41422400
2018-02-01,38.509998,39.290001,38.400002,39.160000,39.160000,59963800
2018-02-02,39.029999,39.040001,37.810001,38.070000,38.070000,46098700
2018-02-05,37.810001,38.310001,36.630001,36.630001,36.630001,45595500
2018-02-06,36.080002,37.070000,35.500000,36.830002,36.830002,62154700
