Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
XOM,2018-01-16,87.739998,87.760002,86.599998,86.970001,86.089668,10882800
XOM,2018-01-17,87.199997,88.209999,86.93,88,87.109245,10546000
XOM,2018-01-18,87.769997,88.190002,87.339996,87.43,86.545013,9223700
XOM,2018-01-19,87.57,87.760002,86.610001,87.150002,86.267845,13090000
XOM,2018-01-22,87.169998,88.290001,87.050003,88.25,87.356712,10270400
XOM,2018-01-23,88.25,88.459999,87.739998,88.300003,87.406212,10281800
XOM,2018-01-24,88.489998,88.919998,88.010002,88.529999,87.633881,10316100
XOM,2018-01-25,88.550003,88.870003,88.199997,88.370003,87.475502,11271900
XOM,2018-01-26,88.639999,89,88.470001,89,88.099121,10514400
XOM,2018-01-29,88.589996,89.300003,87.949997,88.010002,87.119141,9315700
XOM,2018-01-30,87.540001,88.379997,86.779999,86.779999,85.901588,12408000
XOM,2018-01-31,86.559998,87.470001,86.330002,87.300003,86.416328,14404700
XOM,2018-02-01,87.5,89.25,87.349998,89.07,88.168411,17971000
XOM,2018-02-02,85.129997,86.010002,83,84.529999,83.674362,29822100
XOM,2018-02-05,83.279999,83.989998,78.129997,79.720001,78.913055,30452700
XOM,2018-02-06,78.510002,80.349998,76.900002,78.349998,77.556923,36262800
XOM,2018-02-07,78.440002,79.410004,76.919998,76.940002,76.161194,21994500
XOM,2018-02-08,77.440002,77.580002,76.029999,76.07,75.300003,25650800
XOM,2018-02-09,76.25,76.480003,73.900002,75.779999,75.779999,29491600
XOM,2018-02-12,77.050003,77.620003,75.839996,76.419998,76.419998,19095400
XOM,2018-02-13,76.099998,76.75,75.730003,76.300003,76.300003,11926610
